Year,Australia,Canada,Netherlands,New Zealand,United Kingdom
2000,21870.41597,24271.00206,26214.49855,13641.10272,28280.92679
2001,19695.72974,23822.09621,26896.54811,13882.85683,27906.5695
2002,20301.84317,24256.01923,29343.245,16874.18749,30077.74143
2003,23718.13385,28301.86459,35750.97466,21913.70817,34442.68754
2004,30836.73068,32145.54126,40436.61823,25420.23488,40366.88867
2005,34479.76793,36383.66001,41994.71353,27751.06547,42104.78844
2006,36595.70715,40504.0371,44900.93814,26654.5932,44512.45903
2007,41051.61207,44660.08389,51799.20855,32479.98174,50397.6855
2008,49701.28178,46710.25269,57879.94376,31252.96256,47396.12021
2009,42816.5674,40874.88319,52722.21306,28209.36233,38744.13169
2010,52147.02419,47560.6666,50999.74512,33676.77412,39598.95712
2011,62609.66072,52223.85884,54230.3129,38388.52809,42109.64188
2012,68078.04423,52670.34473,50070.1416,39974.29973,42497.3405
2013,68198.41934,52638.11872,52198.89756,42977.38804,43426.29814
2014,62558.24388,50960.84312,52900.53742,44578.22539,47439.61659
2015,56758.8692,43594.1941,45193.40322,38639.35019,44964.39114
2016,49918.79393,42314.06158,46039.10593,40070.89566,40985.23514
2017,53954.55349,45129.62812,48675.22234,42913.18696,40572.12148
2018,57273.52048,46539.17616,53044.53244,43228.69765,43203.81411
2019,55049.57192,46352.86934,52476.27325,42747.20993,42662.53537
2020,51868.24756,43537.8393,52162.57012,41785.69229,40217.00901
2021,60697.24544,52496.84417,58727.87055,49624.18167,46869.75906
2022,65077.67667,55509.39318,57025.01246,48216.50958,45564.15694
2023,64711.7656,53371.69743,62536.73203,48527.82892,48866.60396